"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Squat (Barbell)",,"",0,"normal",34.02,8,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Squat (Barbell)",,"",1,"normal",34.02,8,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Squat (Barbell)",,"",2,"normal",34.02,8,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Romanian Deadlift (Barbell)",,"",0,"normal",38.56,10,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Romanian Deadlift (Barbell)",,"",1,"normal",38.56,10,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Romanian Deadlift (Barbell)",,"",2,"normal",38.56,10,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Leg Press (Machine)",,"",0,"normal",71.67,12,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Leg Press (Machine)",,"",1,"normal",71.67,12,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Leg Press (Machine)",,"",2,"normal",71.67,12,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Seated Leg Curl (Machine)",,"",0,"normal",31.75,15,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Seated Leg Curl (Machine)",,"",1,"normal",31.75,15,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Seated Leg Curl (Machine)",,"",2,"normal",31.75,15,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Seated Calf Raise",,"",0,"normal",31.75,15,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Seated Calf Raise",,"",1,"normal",31.75,15,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Seated Calf Raise",,"",2,"normal",31.75,15,,,
"Leg (2026)","24 Mar 2026, 12:03","24 Mar 2026, 12:53","","Seated Calf Raise",,"",3,"normal",31.75,15,,,
"Pull (2026)","23 Mar 2026, 11:41","23 Mar 2026, 13:10","","Pull Up (Assisted)",,"",0,"normal",13.61,4,,,
"Pull (2026)","23 Mar 2026, 11:41","23 Mar 2026, 13:10","","Pull Up (Assisted)",,"",1,"normal",13.61,4,,,
"Pull (2026)","23 Mar 2026, 11:41","23 Mar 2026, 13:10","","Pull Up (Assisted)",,"",2,"normal",13.61,4,,,
"Pull (2026)","23 Mar 2026, 11:41","23 Mar 2026, 13:10","","Lat Pulldown (Cable)",,"",0,"normal",31.75,12,,,
"Pull (2026)","23 Mar 2026, 11:41","23 Mar 2026, 13:10","","Lat Pulldown (Cable)",,"",1,"normal",31.75,12,,,
